user,item,label,reviews,review_emb1,review_emb2,review_emb3,review_emb4,review_emb5,review_emb6
11,3,5,"The staff is very friendly and helpful. The rooms are large and nicely furnished. Feels new, as if we were the first to stay there. Actually it is more opulent than I require. The free breakfast was good with sufficient choices including fresh fruit salad, eggs, bacon, bagels and pastries and more. It was a great location for our purpose:... More",1.5647355,1.2058387,-0.0824653,-0.9763083,-0.8683983,-0.089309834
12,3,5,"Very friendly staff, great free breakfast items each morning, room and facilities very clean, staff superb! We had a problem with the heating system in our room and they had someone fix it within minutes! Would highly recommend this location/hotel.",-1.7401514,0.3908868,0.4859004,-0.98258907,-0.30361083,0.5129429
13,3,5,"Upon arriving I see modern yet elegant decor which is pleasing to the eye. The front staff are very friendly. The room was clean including details, I'm talking no dust,no hair in bathroom-shower or beds which I tend to find in other hotels. Kudos to housekeeping. Sheets were crisp,beds were comfortable especially since this is a newer hotel. Breakfast in... More",-1.5485218,0.68514276,-0.46807173,-0.018694999,-0.7939951,0.23004629
14,3,5,This is a nice hotel with great staff. I have young children and the entire staff from the front desk staff to the breakfast staff were there to help us. This was our first visit to the Portland area and we plan to go back later this summer. We will stay at this hotel when we return.,-0.15587118,-1.9298935,-0.5999645,-1.4740413,0.9466534,-0.26645514
15,3,5,"Beautiful property and every staff member I encountered (front desk, housekeeping, breakfast hosts and GM) provided beyond excellent customer service! It's also conveniently located near restaurants, grocery stores starbucks and is a short drive to the freeways. I will definitely be back!",1.4877506,0.96894777,-0.3546654,-1.1291268,-0.054085642,-0.365276
16,4,4,Old hotel with many remaining architectural charms and most modern amenities. The staff is exceptional: friendly and very accommodating. Has a little bit of the wear tear around the edges associated with an historic building but remarkably clean. Passed the allergy test.,-4.2109833,1.9975204,0.3252077,0.12361893,0.6736085,0.36255607
17,4,5,Very comfortable room. Our son came and they had a couch that they pulled out into a queen size bed. Free wifi and bottled water. This hotel was built back in the 's and the decor is fabulous. A very neat hotel.,-3.5601401,0.53228706,-0.36010236,-0.7306913,1.1445228,0.6821878
18,4,3,Stayed here for second time recently. Gorgeous lobby. Friendly staff. Good free shuttle service. Our room this time was disappointing. King bed in too small space so that one side did not even have a lamp. Also the heating/cooling unit was right next to the bed and very noisy so we turned it off. Luckily it was not needed. Room... More,-4.3353434,1.96349,-0.25417784,1.0605775,0.2012735,-0.21639179
19,4,5,"My husband and I always try to stay at the Hotel Phillips when we are in Kansas City. It is our favorite hotel and we have stayed at many. I feel at home there and the staff has always been exceptional, although we are not particularly demanding guests. Over the years we have probably spent at least  nights there.... More",-2.4759963,-0.16504745,0.51131284,-1.4802607,-0.16620393,0.21676253
20,4,4,"Just stayed one night but very happy. Nice, comfortable top floor room. Staff could not have been more helpful. Great location right by the Power Light district. Be prepared to pay for valet parking. Price of this was Offset though by free wine and cheese reception.",-1.9898832,-0.12628125,-0.60883826,1.6610711,0.6545415,-0.13319431
21,5,5,"Everything was sold out in State College for Garth's concerts and the Inn came up as available...what an amazing find!! I'll be making the drive now each visit, just to stay there! The Inn is wonderfully decorated and I so enjoyed browsing all the books. Breakfast was amazing each morning. Thank you Stephanie and team!!",-1.8922491,-1.7104645,0.6178804,-0.5514094,-0.105711676,-0.48568916
22,6,5,I work here in Perry about  days out of the week. The People here are very friendly and willing to make your stay better. The hotel is great for my simple needs as I'm away from home. The rooms and hallways smell very clean each time I enter and leave. I will continue my business here for sure.,-1.6228173,-0.14151448,-0.5027681,-0.9658585,0.40761745,-0.268528
23,7,5,"The hotel is just one of many that are on this new trend of firmer pillows and mattresses. This is the third hotel I have stayed in the last few months that have had firmer vs softer mattresses in their rooms. Aside from the bed The room was well appointed, comfortable and really The bonus Those super plushy and comfy robes in the closet. I miss a good hotel robe and this one had one!! Another little thing I loved was the spa water and coffee service in the lobby. High quality coffee and the New York Times Count me in! The maid service was friendly, attentive, and I even got a little note. Would totally stay again.",2.6165202,-3.0229924,0.007364484,-0.01602496,-0.87726825,0.05745334
24,7,4,"excellent location near convention center. friendly, willing staff. not a true luxury hotel in terms of the room I received, but a comfortable clean room, I did not really need any more than that. After all you're here to visit San Francisco, not the hotel.",2.1047304,0.2700328,-2.085129,1.2430167,-0.3129963,-0.814607
25,7,5,"Hotel Zelos was a great place to stay in San Francisco. The staff is definitely the highlight of the hotel. The hotel itself is great: clean, well decorated, etc, but the people who work there were very helpful and friendly. The location is great being right next to the Powell BART station but the neighborhood is under construction. This obviously is not the fault of the hotel and will not impact your stay. We could not hear any of the construction, but it makes it a little more difficult to get around. Overall, I definitely recommend Hotel Zelos!",-2.7957728,-1.6338137,1.1415061,-0.6976013,-0.27637732,-0.20175068
26,7,3,"Pros: the location is awesome, the room size is great, the bathroom is nice also with a nice tub. Bad: the style and furniture starts to get really old, no breakfast despite the high price, the price is high, nothing exeptionnal... We were  people and so  reservations. Unfortunately one was missing. It was am so very bad surprise.... More",-1.0566295,0.48733678,0.1510437,1.356124,-1.5615261,-0.00871357
27,8,1,After getting the bait and switch I decided I'd rather stay anywhere else. I'm sure I wasnt missing much as it looks like project style crack house apartments. The front desk (old middle eastern lady) was extremely rude and up charged me  when I got there! I travel and stay in hotels  days/ year and trust me this... More,-0.33959293,-0.11616086,0.6180144,0.03380233,-1.8821452,-0.010606749
28,8,1,"We had no choice but to stay here when a tornado hit the area and most of Vineland was without power. They charged us  for one night, would not accept my AAA card and after leaving, we found out, we had been charged for  cats (which we do not own) and for another person. It was only my husband and... More",-1.0914166,-0.034777224,1.1495572,-0.28218102,-0.98174185,0.03955992
29,9,4,"Hotel is in the perfect spot at the perfect price with the not so perfect view. Expedia rep said that it was facing the water and in a way it was but at a  degree angel past the parking lot and a few other obstructions. You have to stretch your neck at the furthest corner of the window to gain a peak. But it was still good though. The room sleeps like nobody's business. Once your head hits the pillows its light out. What I did not like was the front desk personnel. They really did not like there job and it showed. No eye contact, no smiles, no small talk, and what really disturbed me was at check in when I was told to sign this that's how it was put. I was like what is it Just sign - its nothing. Sir What am I signing. Oh if you have a party and smoke we can charge you .(eyes still on monitor). Well sir. Tell me that. Next. Came back later that night to get snacks out of the cupboard. Over priced but I expected that but the person at the front desk was lifeless and did not not even give me a total. She just says. Its charged to your room and kept staring at her monitor(again the monitor). WOW. But what makes up for some of the small inconsistencies is that fact that the water is in walking distance. The Ferris wheel is right there and Gaylord Hotel is right across the street. Good energy in the area and great spots to eat(Redstone) . Cant wait to visit again. Thanks for the snacks!",3.0652347,-6.4281707,0.96010816,3.5727925,-0.19207145,-0.58013767
29,9,5,Excellent experience. Will come again and book stay in the future,-3.5275013,3.4468696,1.1414496,-0.74467474,0.64345926,-0.22907564
29,9,2,"heat in room did not work properly, tv remote was broken excessive noise",-8.090825,2.4040954,3.0109236,0.22405708,1.3700435,2.0436382
30,9,5,"Even though we were having problems, i.e. Feather allergy, Flat tire, key not working...the front desk personell were always gracious and helpful.",-4.112424,0.9429799,0.7939367,1.0410694,-0.2614132,0.41024143
29,9,4,"Brand new hotel in brand new retail area on the water. Easy to access off the beltway. Friendly staff, clean rooms, comfortable beds. Only complaint is that the full offering of the Hampton Inn breakfast was not available at the two times we came down (at am and am on a Saturday). The food at am had been in the bin too long. Still more choices than the continental breakfast at other places, including make-you-own waffles and yummy egg burritos. The fee for parking in the community garage was free with room key and even included a convenient room key drop upon final exit. Pool but no hot tub.",-0.60938495,-2.0653894,-0.58500606,0.7798588,0.236224,-0.5179468
31,9,5,It was a great stay,7.400453,5.645867,1.621937,-0.7034903,0.910342,0.95019394
29,9,4,"My sister came into town so we decided to go to The National Harbor for a night. Checking in, the hotel staff was very pleasant. Parking is in a garage behind the hotel, for . Our room was clean with nice views. The bed was very comfortable. We were able to walk comfortably to the harbor and sightsee. There are also restaurants and bars within walking distance. Breakfast was great, with canadian bacon and sausage patty meat options. There was also a waffle station, eggs, potatoes, fruit, yogurt, cereal, muffins, and other pastries. Checkout was a breeze, and the front desk staff again, was very pleasant. I very much enjoyed my stay and I will definitely return!",0.33512488,-3.6001568,-0.02193338,-0.4824655,0.24192646,0.04374033
29,9,5,Free breakfast! Attentive staff Fantastic location,-1.4036579,4.7241416,1.1181943,0.14915171,0.6361329,0.008712569
32,9,5,"Excellent experience. Due to a mix-up on my part with the online travel service it was set up as a king rather than two queen beds, for two guys. I immediately called at the time and Hampton said they would make a note that a room with two queens was needed. When i got there, they did not have a -queen room so they put me up in another king room (and my buddy stayed in the original room) at NO additional expense, and I moved to a -queen room the next day. That is awesome, customer-oriented service.",0.18821897,-1.9052659,-0.2903687,0.3680557,-0.21434063,-0.40324077
29,9,5,The room was really big and clean. The staff was great. The hotel offers free breakfast that was really good ( not the usual crappy free breakfast) The only thing I did not like about the room was that the air conditioner was regulated a motion sensor. We happened to be staying here on one of the hottest days of the year. The unit only stays on if the motion censor registers a person being in the room. Upon arriving the room was hot. It took about  mins for it to cool off. Also the AC cut off during the night when we fell asleep (No movement). I woke up in a pool of sweat and had to get up a walk around periodically to keep the AC going. That really sucked..,-2.6817396,-1.4808009,0.5825837,-0.9201986,-0.24557364,0.030548777
29,9,4,THE LOCATION OF THE HOTEL WAS OUTSTANDING. BUT THERE IS AND ADDITIONAL COST FOR PARKING JUST KEEP THAT IN MIND . IF YOU PAY FOR PARKING AT THE TIME YOU CHECK - IN BE SURE TO HAVE IT OUT BEFORE  PM THE NEXT DAY,3.3790553,0.45764464,0.30053076,-1.5964411,0.35955092,-0.2505766
29,9,4,"was too quick, but very nice area",-1.5340626,3.849933,0.5843772,1.0611335,0.07362459,-0.319806
29,9,4,"clean, good area, very kind crew, easy to park",-1.5843941,2.7229786,0.385134,0.31853244,0.8754707,0.012973973
29,9,4,We had a great overnight trip to the National Harbor near DC. All of the sites and entertainment were within walking distance!,-2.3029995,1.4125742,0.8684349,-0.39133382,-0.6358778,-0.27536115
33,9,5,I loved my stay VIP service all the way. I did not want to leave. I can honestly say I will visit again. I give it  stars,-0.3281507,3.8730896,0.25500715,-0.7075641,0.013918227,-0.7896099
34,9,5,"The only problem I have was their sensorize INNCOM thermostat for air conditioning unit to start-up. If there are not movement inside the room, it will not kick in..... sucks!! the trick is, you have to keep moving while sleeping to keep the AC running (LOL)....",-1.9629878,-0.5941822,0.9822579,0.22757694,-1.3975089,0.3660586
35,9,5,"Convenient and comfortable. Staff is great, breakfast and WiFi is a bonus.",-2.0094786,2.6376379,-0.09941419,-0.6312315,0.7856019,0.4751812
29,9,3,I was really disappointed with the TV service. Very few channels and poor quality.,-0.7124329,2.165362,0.21165332,0.27952853,-0.32911557,0.27094823
36,9,5,"Awesome, Overall",-0.41650978,3.3677945,0.5351726,0.5645366,0.79004425,-0.3002378
3,9,5,Better with more extras like breakfast. Preferred place to sleep for conference.,4.956783,5.3939962,-0.24341263,0.8236482,1.5200082,0.15398113
29,9,4,Very good experience. Staff was great. Enjoyed my times especially after my previous fiasco at that other hotel.,-2.2000968,2.7699494,-0.13459855,1.1266841,0.18213017,-0.2627033
37,9,5,"The hotel is located near all the attractions on the Harbor. We were provided more than we expected. There was parking right across the street restaurants within  minute walking distance and most of all hot and cold continental breakfast in the morning and hot coffee and tea available all day in the lobby. The rooms were very comfortable. I slept just like I was at home. Oh, I can not forget the staff: they were on their job with an attitude of excellence!",1.7076114,-2.0827718,0.6305645,0.003496672,-0.7677071,-0.038276497
29,9,5,"Repeat trip to this hotel for national conference attendance. Provides a quality stay, business center kept me in touch and great value for limited travel budget.",2.7094896,1.6934065,-0.033438824,-0.8745864,0.2323914,0.12663923
29,9,5,I can not comment on the breakfast because we slept through it but everything else was excellent! I dont know why anyone would pay twice the price to stay at the Gaylord.  stars all the way!,-3.2210822,0.6314002,0.68113464,0.3198071,-0.656578,-0.4697375
38,9,5,Our room was a bit small. There was no microwave in the room. Location was more for couples than for family. The room itself And service were excellent.,-1.8442641,1.8550341,-0.69198984,0.23274021,0.006762795,0.05159462
29,9,5,"This hotel is a peach. The staff are friendly, the hot breakfast filling and the rooms are immaculate. This should be a poster child for how to run a hotel.",1.9742774,2.6149235,-1.0789425,-1.454133,0.12338448,0.5169529
39,9,5,"Hampton Inn never disappoints. Always an affordable, clean hotel with attentive and friendly staff. The breakfast is always a plus too. Also, the National Harbor is a nice area full of shops and dining choices and seems to be a family friendly hangout destination for locals.",1.0392654,-3.236435,0.321512,-0.22918393,1.0904466,-0.052837078
29,9,4,I stayed here with some friends for a convention. It was a good room and the free breakfast was nice.,2.9355917,1.287752,-0.9947913,-0.475955,0.42387512,0.3495836
29,9,5,"The hotel offers comfortable, somewhat elegant rooms but I suppose I was more impressed with the personnel and the warmth you get interacting with them. But for my phone call bills which seemed a bit high, my stay overall was great.",-0.73242915,0.7270102,-0.3679011,-0.42201632,-0.6356513,-0.14143328
40,9,5,"We were there for  nights and used it as a staging area for sightseeing in DC and Baltimore. It's a nice, new hotel with reasonable rates. The staff was great with our kids, who had a blast at the pool and the / snack bar. The continental breakfast was great, but they should consider expanding their hours or at least allowing guests to finish the food that is out at , because every morning the food was taken away promptly at : even though the area was packed with guests still trying to get breakfast. Parking was /day and right across the street, which is quite reasonable for the DC area.",3.3500986,-3.2024376,1.0078387,0.6669007,-0.75605255,0.3848162
41,9,4,"Reasonable rates with free breakfast and right in front of Gaylord National Resort worked for me very well. The rooms have good size bathrooms and the air conditioning in the rooms was excellent. Parking is  per day and that is why I did not give it  stars. However, at National Harbor  is not bad especially when Gaylord charges double of it per day.",3.2326188,-2.0394561,-0.61639684,0.51845187,-0.60717934,0.2376308
42,10,5,"We hosted our annual Client Event at The Grand Del Mar and it was excellent!! The service, property, rooms, restaurants, and GOLF absolutely magnificent. Our conference managers were a gem, great service! Thank you for making an important event run so smoothly.",-4.904811,1.2239399,1.1904479,-1.2973434,0.5811591,-0.18728133
43,10,5,"We enjoyed every minute of our stay in this breathtaking luxurious resort. The hotel is well kept and boasts caring and attending staff that do their best to make your stay memorable. The hotel offers great rooms, amenities and activities for all ages. I fell and fractured my hand on the last day of our stay (off property) and the... More",2.222652,0.7538825,-0.55997187,-1.1500709,-1.2820476,-0.32837602
44,10,5,"We arrived here very tired after  hours of travel and airports and from the moment we arrived we felt like royalty. We dined a Amaya multiple times (please see separate review). The room was stunning and more than we could ever expect, nothing was to little for the staff and they all seemed genuinely friendly even down to the... More",0.08750203,0.8982727,-0.20007077,-0.34526083,-1.1816156,0.10819129
45,10,5,"Stayed here for Thanksgiving and had the best experience. Before we arrived they asked my three year old little boy's name and when we arrived they had the most adorable kids travel pillow and personalized cookie waiting for him. They had children's games on the lawn right outside our bottom floor room, , and he had his face painted for... More",0.22144392,-2.6605604,1.4295932,0.49536765,-0.8603652,0.34800753
46,10,5,"This exquisite property located in the penasquitos canyon of North County is a spectacular retreat. In a setting resembling a Mediterranean villa, the hotel is truly grand, with spacious rooms, several dining options and cozy sitting areas to relax and soak up the well appointed spaces and beautifully manicured grounds. The resort amenities include golf, tennis, heated pools and a... More",16.867668,0.1536973,3.8324487,-0.6398489,1.7872416,1.1341852
47,10,5,"Five of the last six years, our company has hosted our annual meeting at the Grand Del Mar (and we regret not having it six out of six years). The GdM may be the top place to stay in the US, thus my recommendation is in the title of the review. The GdM is not inexpensive, but it is worth... More",-0.5059998,0.23723996,0.61672676,-1.3185494,-0.294025,-0.14690559
48,10,4,We drove down for a weekend getaway and to celebrate a special birthday. Our infant son accompanied us. The room was nice but the bathroom was fabulous. We appreciated the separate large shower from the tub and the private toilet. I was not as much of a fan of the closet being inside the bathroom as it was a trip to... More,0.3900646,-0.12262417,-1.3103684,-0.36890656,-0.57859486,-0.15570907
49,10,5,This resort is GORGEOUS!! Check in was perfect our room wasnt ready (we were there early) so they took my phone number while we had drinks by the pool and in  mins or so our room was ready! The next day we had spa appts and the receptionist heard it was our honeymoon trip so after our massages we... More,-3.0909038,-1.1644368,0.5389428,0.52970636,-0.6332325,0.13087164
50,10,5,The resort and staff are wonderful. The hotel is very nice and the groups are beautiful. The location is secluded so you need a rental car or to book the house car in advance. The concierge staff has not been to most of the spots so use trip advisor to help find the right places.,-2.2544303,-0.7959745,-0.0791669,-1.5327078,0.6805799,0.73782283
51,10,4,"This is a very, very, very good hotel. My expectations were high because of the reviews I had read and it did not quite meet my expectations. I know I'm knit-picking but while the abundance of fresh flower petals in my room were very nice I would gladly have traded them for a room service breakfast with hot coffee, hot ham... More",-0.81879944,0.008966642,-0.46674255,-0.7895004,-0.6352745,-0.34058863
52,10,5,"Expensive Yes. Service Above the norm! Nickel and dime you on the small stuff Nope! (one of my pet peeves if you are going to stay at a hotel of this caliber) This property gives you  star service. Forgot your work out clothes Let the staff know your size. Need some feminine products, be there in  minutes. The... More",-0.5174152,3.012419,-0.40801892,0.22622351,-0.26396596,-0.570279
53,10,5,"If you do not mind staying out of town, the Fairmont Grand Del Mar is a top quality choice for San Diego located about  minutes north of the airport. It is a large traditional colonial property, with a beautiful golf course on the west side of the grounds, ample parking, equestrian facilities and a good spa (which has the best... More",2.3316123,-0.9534375,0.39209694,-2.0840077,0.4258842,0.061461568
54,10,5,"This property is absolutely pristine. The grounds are perfectly maintained, the rooms are luxurious with exquisite detail and the hotel in general is just a site to see. The location is great if you want to be away from the city and in a quiet area with gorgeous views of the hills (but close enough to to drive to Del... More",-0.9111155,0.78027123,-0.18084382,-1.6900527,-0.5691341,0.5089255
55,10,5,"I love The Grand Del Mar in Del Mar California. This might have been my th time there. It is the only hotel in the area that i will stay at. It is truly a  star property. The staff is professional and very attentive. The rooms are very spacious, with marble bathrooms and separate shower and soaking tub. The... More",1.0484891,1.5194812,0.12025691,-1.0765681,-0.81113404,-0.37859
56,10,5,"We had a wonderful stay at the Fairmont! This is an excellent hotel, with great attention to detail including hotel grounds, architecture, amenities and staff. Service is first class and natural, you are made to feel very welcome. Great looking golf course, and plenty of other activities to enjoy such as walking, the pool, tennis. Or just relax in the... More",0.40313053,0.6740287,-0.07491196,-1.7340482,-0.36205938,-0.019473348
57,10,5,"To date, this takes the prize. It did not overwhelm me but I was, over the four days I stayed, consistently well served and impressed at the degree of detail that was maintained in every aspect of the experience. In the same way that the hotel service was a consistently delivered, high degree of service, without being over the top,... More",-1.6113957,1.596555,0.74091387,-0.028268173,-1.0352827,-0.106279776
58,11,4,It's a great place to stay and leave a car if you are flying out. The courtesy shuttle takes  minutes to get to O'Hare.,7.259973,0.15519159,-0.8762973,-0.16584855,1.1361978,0.08603155
59,11,5,"Give Robert a raise! We were trying to catch a flight from O'Hare to ATL early in the morning and my girlfriend forgot her phone in the room. Luckily, we called and he managed to get the phone as we made our way back on the provided shuttle bus. Orlando the shuttle driver was quick to pull us into our... More",0.55954653,1.0736148,-0.6325139,0.48087394,-1.0943507,-1.0956464
60,11,3,Average hotel for decent price. It was balanced. Housekeeping did leave our door only ajar after cleaning one day. Arrrggghhhh!!!!! Nothing was missing.,-0.7827218,1.5903571,-0.12943777,0.78287464,-0.87120295,-0.62356555
61,11,3,The room key did not work i to go to lobby  times no parking under heavy construction noise the staff very incompetent I will not come back to this hotel,1.2487751,3.5221217,0.09242952,-0.20499454,-0.36485082,-0.043749936
62,12,5,We Had the best time ever! r r What a ball we had at Clarion Resort Waterpark! r r The place was large enough to have plenty of rides but small enough to walk comfortably. r r The entire facility is NEW and all the rooms are well,1.7277808,-2.710989,-1.1919763,0.60070807,0.7492438,-0.49170166
63,13,5,"Awesome hotel. Virgin really took the time to figure out all things at are frustrating about staying in a hotel and fixed them - kudos!!! The hotel will become a regular haunt in the future. From free wifi, free cocktails, a mini bar you're not terrified to touch, not to mention the no check out time, they really are way ahead of the rest. Oh by the way did I mention the really cool room... Awesome! Highly recommend the hotel. From young teens to my parents in their 's the hotel met our every need.",-0.5698167,-0.16906452,-0.08268968,-1.2323548,-0.21416247,0.10193777
64,13,4.8,"Bad: The bed was not that comfy, which was surprising given all of the other amazing details. Sheets were rough/stiff- not cozy. Could be easily fixed, though!. Good: This was by far one of the best hotel experiences I've ever had. Check-in and check-out was super fast, staff was phenomenal, and the room was very intuitively set-up with thoughtful details technology. It was clear that Virgin is not just a typical hotel. The chamber set-up of the room allowed for privacy comfort, even in a relatively small space. Snacks mini-bar had - prices. Everything was super clean, well serviced and wonderful. In short: STAY HERE!",1.2607487,-4.4443026,0.4808488,0.9393726,-0.2217841,-0.3790421
65,13,4.6,"Bad: Noisy in lower floors, but not at all at higher ones. Good: Very comfy beds, great lobby/bathroom",-1.245696,0.55667365,0.5519648,0.87114936,-0.25874934,-0.043689907
66,13,4.6,Good: Staff went out of their way after checkout to locate an item I had left in the room. The room had already been cleaned and the staff got the item back to me as quickly as possible. Roof top bar was beautiful.,23.182426,-0.18030998,3.7178955,3.0535197,2.1892774,0.5792693
67,13,4.8,"Bad: A little bit of noise from the 'L' down below, but then again that is part of the character of the city. Good: Overall cleanliness, new feel, friendly efficient staff, great happy hour! Excellent location.",-1.5809903,0.6665051,-0.124167114,0.7947699,-0.7997894,-0.29395443
24,13,3.55,Bad: The room rate was terrible we had a Booking.com rate that was not honoured it soured the stay and was a big difference. We to date have no explanation!. Good: Location,2.5488899,2.16889,0.060436405,-1.5209278,-1.2490286,0.6840085
68,13,4.4,Bad: Had a couple of glitches getting the room serviced but otherwise very friendly and helpful staff. Good: Great location. Nice rooms with exceptionally comfortable bed.,1.1162549,-0.5022993,-1.2623606,0.9689482,0.6658321,0.35646307
65,13,5,Good: A fun place to stay with great staff and lots going on in and around the hotel.,7.2734394,1.095956,0.31937718,-0.26649266,0.27993384,0.5844023
65,13,4.6,Would be nice if the duvet were in a duvet cover as I just get tangled between the flat sheets and the comforter Gym could really do with some more variety in terms of machinery - Its impossible to do much leg work as there is no squat rack with a bar - or even a smith machine which has multiple purposes Super helpful staff / - very accommodating of my unusual hours Room service menu is amazing Views are amazing Cerise Bar on the roof is epic and the bartenders are amazing I will be coming back and SOON!,2.3285408,0.2877222,-0.5634704,-0.38433582,-0.25105095,0.23862058
69,13,5,Bad: The hotel is next to train tracks so there is some noise from that pretty often but it's really not so bad and you kind of have to expect some noise when you're staying at a hotel that's literally in the middle of the city. Good: Very tech friendly as the hotel has its own smartphone app which allows you to order room service and control the thermostat among other things. The staff is very friendly and accommodating. The room is designed very well. Also the price of the mini bar items are actually reasonable.,-0.7593363,-4.0513372,0.3192467,0.4173998,0.20304738,1.3323638
70,13,5,Bad: Loved everything about Virgin Hotel. Good: First and foremost the staff - just wonderful. Friendly and very patient with all the enquiries we made! And we were there for the historic parade to celebrate the Chicago Cubs World Series win and the icing on the cake was another historic win - Ireland beating the All Blacks after  years!,-0.8805973,-2.492964,1.6927054,0.10904313,-0.3084165,-0.14836675
71,13,5,"Bad: A little sticker shock with /night valet parking, but I had not done my research for cheaper options, so not a big deal. Good: Super hip and definitely a young techy vibe, but everyone was friendly and helpful. Room was as described and very spacious for the location and price. Even though it is right at the corner of the L Tracks, sound was not a problem. Exactly what was needed!",0.68980896,-0.08823503,-0.35592675,0.74206823,-1.106857,-0.25985107
72,13,5,"Bad: Everything was great. Good: Superior experience. Loved everything about this hotel. Very comfortable, well thought out and fun arrangement of the room, great shower and products, good restaurants, wonderful roof bar. Looking forward to the next visit!",0.29161197,0.18113343,-1.2716111,0.50582534,-0.09667402,-0.25939092
65,13,4.8,"Bad: We were on the th floor and slept really well but could hear the metro. Earplugs are supplied which were useful to my husband. There were two tvs in our one bedroom suite but only one remote control - odd when we wanted to watch two different shows. Good: Absolutely perfect location in Chicago, within one block of the metro, walking distance to most of the top areas to visit and very good restaurants. Very comfortable room and bed, neat layout for the closet and vanity, wonderful shower, cool design features (Vespa chair, red fridge, furniture).",-1.7556893,-1.5810838,0.13020545,0.51580924,-0.13712907,-0.062239014
73,13,4.8,"Bad: Intermittent barking dog!. Good: Spacious suite, recommend end room on high floor",2.2596903,1.0852169,0.2657647,-0.19452724,-0.023233557,0.060579825
71,13,5,"Good: The suite was very well apointed, plenty of room for an inroom breakfast --the bed and bedding were very nice. The staff couldnt be nicer We had a great night on the rooftop deck.... we never left the propertysmall plates a DJ and wonderful views. Ill be back",-1.6116574,0.8914895,0.82443255,-0.20918944,-0.48899326,-1.1436703
74,13,4.8,"Bad: A very minor quibble: only one side of the bed had a nightstand. Good: Room design was well thought out and executed, making an average-sized space especially user-friendly for a couple. Also, the room had more power outlets than I've ever seen in a hotel room. Staff was helpful and friendly, second-floor bar was very nice.",-1.3918949,-0.36321157,-1.216165,0.939128,0.37205255,-0.5441417
75,13,5,Bad: The view. Good: Everything,4.1222,5.031963,0.37952712,0.012146203,0.7318151,-0.7199084
76,13,5,"Beds were very comfortable, room amenities perfect. Enjoyed the lobby level coffee shop, roof top bar and happy hour on the nd level every evening. A great bonus!",-2.7865765,1.9889572,0.425471,0.1213213,-0.03892153,-0.3399483
